""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000084857"	0	0	0.957097277480503	0.609776369701221	0	0	"Gm2449"
"ENSMUSG00000084862"	8.7857860030018	16.5611199350973	14.3564591622075	16.463961981933	16.4084361671582	12.8284538596516	"Gm16278"
"ENSMUSG00000084863"	4.3928930015009	2.36587427644247	1.91419455496101	1.21955273940244	3.78656219242113	2.56569077193031	"Gm12523"
"ENSMUSG00000084866"	6.15005020210126	3.54881141466371	6.69968094236352	4.26843458790854	1.26218739747371	7.69707231579093	"A930006K02Rik"
"ENSMUSG00000084867"	18.4501506063038	21.2928684879822	18.1848482721295	21.3421729395427	23.9815605520005	21.8083715614076	"2010000I03Rik"
"ENSMUSG00000084874"	7.90720740270162	9.46349710576989	7.65677821984402	7.92709280611587	7.57312438484226	2.56569077193031	"Gm12906"
"ENSMUSG00000084876"	1.75715720060036	0	1.91419455496101	1.82932910910366	0	2.56569077193031	"Gm14965"
"ENSMUSG00000084877"	60.6219234207124	72.1591654314954	64.1255175911937	52.440767794305	58.0606202837907	51.3138154386062	"5430416N02Rik"
"ENSMUSG00000084878"	1.75715720060036	0	0.957097277480503	0	2.52437479494742	0	"Gm15817"
"ENSMUSG00000084880"	21.0858864072043	14.1952456586548	13.399361884727	10.975974654622	15.1462487696845	7.69707231579093	"Gm14872"
"ENSMUSG00000084881"	0.87857860030018	0	1.91419455496101	0.609776369701221	1.26218739747371	2.56569077193031	"Gm15585"
"ENSMUSG00000084883"	7.90720740270162	5.91468569110618	9.57097277480502	4.26843458790854	8.83531178231597	0	"Ccdc85c"
"ENSMUSG00000084886"	13.1786790045027	4.73174855288494	5.74258366488302	10.3661982849207	6.31093698736855	7.69707231579093	"4732487G21Rik"
"ENSMUSG00000084892"	10.5429432036022	11.8293713822124	5.74258366488302	9.75642191521953	6.31093698736855	8.97991770175609	"Gm14471"
"ENSMUSG00000084896"	154.629833652832	202.282250635831	211.518498323191	182.323134540665	152.724675094319	161.63851863161	"Gm11632"
"ENSMUSG00000084899"	447.196507552791	309.929530213964	372.310840939916	367.085374560135	377.394031844639	410.51052350885	"Gm15344"
"ENSMUSG00000084900"	113.336639438723	150.233016554097	107.194895077816	59.1483078610184	107.285928785265	156.507137087749	"Gm16625"
"ENSMUSG00000084903"	69.4077094237142	53.2321712199556	22.0132373820516	51.2212150549025	61.8471824762118	41.051052350885	"Gm16624"
"ENSMUSG00000084904"	0	0	0	1.82932910910366	1.26218739747371	0	"Gm14827"
"ENSMUSG00000084910"	0.87857860030018	0	6.69968094236352	0	1.26218739747371	2.56569077193031	"C630043F03Rik"
"ENSMUSG00000084911"	4.3928930015009	1.18293713822124	5.74258366488302	3.65865821820732	5.04874958989484	3.84853615789547	"Gm16185"
"ENSMUSG00000084915"	27.2359366093056	73.3421025697166	43.0693774866226	31.0985948547622	42.9143715141062	43.6167431228153	"C230037L18Rik"
"ENSMUSG00000084917"	0	0	0	0	1.26218739747371	0	"Gm16787"
"ENSMUSG00000084918"	3.51431440120072	7.09762282932741	13.399361884727	6.70754006671343	8.83531178231597	10.2627630877212	"Gm12708"
"ENSMUSG00000084922"	1.75715720060036	1.18293713822124	0	1.82932910910366	0	6.41422692982578	"9330179D12Rik"
"ENSMUSG00000084925"	2.63573580090054	4.73174855288494	3.82838910992201	2.43910547880488	13.8840613722108	3.84853615789547	"1810062O18Rik"
"ENSMUSG00000084930"	0.87857860030018	2.36587427644247	0	0	1.26218739747371	1.28284538596516	"Gm11706"
"ENSMUSG00000084931"	27.2359366093056	36.6710512848583	40.1980856541811	33.5377003335671	40.3899967191587	48.7481246666759	"1110019D14Rik"
"ENSMUSG00000084932"	0	0	0	0	0	1.28284538596516	"Gm15156"
"ENSMUSG00000084936"	7.02862880240144	5.91468569110618	0.957097277480503	5.48798732731098	3.78656219242113	7.69707231579093	"Gm11583"
"ENSMUSG00000084940"	0	0	0.957097277480503	0	0	0	"Gm15935"
"ENSMUSG00000084941"	38.6574584132079	29.5734284555309	27.7558210469346	27.4399366365549	23.9815605520005	38.4853615789547	"Gm11944"
